127.0.0.1 - - [30/Jun/2017:19:15:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:45 +0530] "GET /jenkins/ HTTP/1.1" 503 1631
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:45 +0530] "GET /jenkins/static/8837540b/css/layout-common.css HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:45 +0530] "GET /jenkins/static/8837540b/css/color.css HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/css/responsive-grid.css HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/prototype.js HTTP/1.1" 200 37879
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/css/style.css HTTP/1.1" 200 9106
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/behavior.js HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/container/container-min.js HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/menu/menu-min.js HTTP/1.1" 200 15901
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/datasource/datasource-min.js HTTP/1.1" 200 8248
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/jsbundles/page-init.js HTTP/1.1" 200 9291
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/sortable.js HTTP/1.1" 200 3999
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/storage/storage-min.js HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/element/element-min.js HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/hudson-behavior.js HTTP/1.1" 200 28798
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/button/button-min.js HTTP/1.1" 200 8305
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/connection/connection-min.js HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:46 +0530] "GET /jenkins/static/8837540b/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 200 7254
